fiscal_year,fund,department,class_id,class,minor_class_id,minor_class,total
2015,General Operating Fund,City Council,1,Personal Services,100,Salary Control,100000
2015,General Operating Fund,City Council,1,Personal Services,101,Perm Full Time-civilian,13529124
2015,General Operating Fund,City Council,1,Personal Services,111,Perm Part Time,195000
2015,General Operating Fund,City Council,1,Personal Services,121,Temporary Seasonal,75000
2015,General Operating Fund,City Council,2,Purchase of Services,201,Cleaning and Laundering,485
2015,General Operating Fund,City Council,2,Purchase of Services,202,Janitorial Services,2500
2015,General Operating Fund,City Council,2,Purchase of Services,209,Telephone,2000
2015,General Operating Fund,City Council,2,Purchase of Services,210,Postage,150000
2015,General Operating Fund,City Council,2,Purchase of Services,211,Transportation,10000
2015,General Operating Fund,City Council,2,Purchase of Services,216,Commercial Off-shelf Comp Software,10000
2015,General Operating Fund,City Council,2,Purchase of Services,230,Meals-non-travel & Officl Entertain,5000
2015,General Operating Fund,City Council,2,Purchase of Services,240,Advertising/promotional Activities,600000
2015,General Operating Fund,City Council,2,Purchase of Services,250,Professional Consult/spec Services,705000
2015,General Operating Fund,City Council,2,Purchase of Services,251,Information Technology-prof Service,150000
2015,General Operating Fund,City Council,2,Purchase of Services,255,Dues,2500
2015,General Operating Fund,City Council,2,Purchase of Services,256,Seminar and Training Sessions,5000
2015,General Operating Fund,City Council,2,Purchase of Services,258,Court Reporters,175000
2015,General Operating Fund,City Council,2,Purchase of Services,260,Repair and Maintenance Charges,10000
2015,General Operating Fund,City Council,2,Purchase of Services,266,Maint/support-computr Hardware/soft,25000
2015,General Operating Fund,City Council,2,Purchase of Services,285,Rents,152000
2015,General Operating Fund,City Council,3,Materials and Supplies,301,Agricultural and Botanical,750
2015,General Operating Fund,City Council,3,Materials and Supplies,304,Books and Other Publications,40000
2015,General Operating Fund,City Council,3,Materials and Supplies,305,Building and Construction,750
2015,General Operating Fund,City Council,3,Materials and Supplies,309,Cordage and Fibers,1000
2015,General Operating Fund,City Council,3,Materials and Supplies,310,Electrical and Communication,3500
2015,General Operating Fund,City Council,3,Materials and Supplies,313,Food,7500
2015,General Operating Fund,City Council,3,Materials and Supplies,316,General Hardware and Minor Tools,1000
2015,General Operating Fund,City Council,3,Materials and Supplies,318,"Janitorial, Laundry and Household",5000
2015,General Operating Fund,City Council,3,Materials and Supplies,320,Office Materials and Supplies,90000
2015,General Operating Fund,City Council,3,Materials and Supplies,324,"Precision, Photographic and Artists",1500
2015,General Operating Fund,City Council,3,Materials and Supplies,325,Printing,110000
2015,General Operating Fund,City Council,4,Equipment,420,Office Equipment,25000
2015,General Operating Fund,City Council,4,Equipment,423,Plumbing/air Conditioning/space Htg,4000
2015,General Operating Fund,City Council,4,Equipment,427,Computer Equipment & Peripherals,60000
2015,General Operating Fund,City Council,4,Equipment,430,Furniture and Furnishings,60650
2015,General Operating Fund,City Council,5,"Contributions, Indemnities, Refunds, Taxes",599,Other Expenses (noc),100
2015,General Operating Fund,City Council,8,Payments to Other Funds,800,Pmt to Other Funds Control,100
2015,General Operating Fund,City Council,9,Advances & Other Misc Payments,999,Standby Authorizations,100
2015,General Operating Fund,Mayor's Office-labor Relations,1,Personal Services,100,Salary Control,154471
2015,General Operating Fund,Mayor's Office-labor Relations,1,Personal Services,101,Perm Full Time-civilian,456576
2015,General Operating Fund,Mayor's Office-labor Relations,1,Personal Services,161,Overtime Civilian,5000
2015,General Operating Fund,Mayor's Office-labor Relations,2,Purchase of Services,211,Transportation,500
2015,General Operating Fund,Mayor's Office-labor Relations,2,Purchase of Services,256,Seminar and Training Sessions,2777
2015,General Operating Fund,Mayor's Office-labor Relations,3,Materials and Supplies,304,Books and Other Publications,5560
2015,General Operating Fund,Mayor's Office-labor Relations,3,Materials and Supplies,320,Office Materials and Supplies,1000
2015,General Operating Fund,Mayor's Office-labor Relations,4,Equipment,420,Office Equipment,1600
2015,General Operating Fund,Office of Innovation & Technology,1,Personal Services,100,Salary Control,160000
2015,General Operating Fund,Office of Innovation & Technology,1,Personal Services,101,Perm Full Time-civilian,18691491
2015,General Operating Fund,Office of Innovation & Technology,1,Personal Services,111,Perm Part Time,284385
2015,General Operating Fund,Office of Innovation & Technology,1,Personal Services,121,Temporary Seasonal,10000
2015,General Operating Fund,Office of Innovation & Technology,1,Personal Services,161,Overtime Civilian,516989
2015,General Operating Fund,Office of Innovation & Technology,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",41000
2015,General Operating Fund,Office of Innovation & Technology,1,Personal Services,181,Shift,11912
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,209,Telephone,12649533
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,210,Postage,3000
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,211,Transportation,9050
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,216,Commercial Off-shelf Comp Software,1319857
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,220,Electric Current-structures/streets,211000
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,250,Professional Consult/spec Services,716712
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,251,Information Technology-prof Service,25337685
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,255,Dues,24741
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,256,Seminar and Training Sessions,27175
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,260,Repair and Maintenance Charges,6105540
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,266,Maint/support-computr Hardware/soft,7181248
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,282,Rent/lease-purchase Computer Equip,82102
2015,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,285,Rents,328641
2015,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,304,Books and Other Publications,1595
2015,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,310,Electrical and Communication,1393657
2015,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,311,General Equipment and Machinery,60
2015,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,312,Fire Fighting and Safety,19200
2015,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,320,Office Materials and Supplies,104949
2015,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,324,"Precision, Photographic and Artists",12774
2015,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,325,Printing,770
2015,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,399,Other Materials and Supplies (noc),3648
2015,General Operating Fund,Office of Innovation & Technology,4,Equipment,410,Electrical Lighting Communication,2606838
2015,General Operating Fund,Office of Innovation & Technology,4,Equipment,420,Office Equipment,1090
2015,General Operating Fund,Office of Innovation & Technology,4,Equipment,423,Plumbing/air Conditioning/space Htg,100000
2015,General Operating Fund,Office of Innovation & Technology,4,Equipment,427,Computer Equipment & Peripherals,4193321
2015,General Operating Fund,Office of Innovation & Technology,4,Equipment,430,Furniture and Furnishings,42595
2015,General Operating Fund,Mayor's Office,1,Personal Services,100,Salary Control,232371
2015,General Operating Fund,Mayor's Office,1,Personal Services,101,Perm Full Time-civilian,3907009
2015,General Operating Fund,Mayor's Office,1,Personal Services,121,Temporary Seasonal,12000
2015,General Operating Fund,Mayor's Office,2,Purchase of Services,210,Postage,1194
2015,General Operating Fund,Mayor's Office,2,Purchase of Services,211,Transportation,25435
2015,General Operating Fund,Mayor's Office,2,Purchase of Services,230,Meals-non-travel & Officl Entertain,3442
2015,General Operating Fund,Mayor's Office,2,Purchase of Services,250,Professional Consult/spec Services,876290
2015,General Operating Fund,Mayor's Office,2,Purchase of Services,255,Dues,87475
2015,General Operating Fund,Mayor's Office,2,Purchase of Services,256,Seminar and Training Sessions,3500
2015,General Operating Fund,Mayor's Office,2,Purchase of Services,260,Repair and Maintenance Charges,20000
2015,General Operating Fund,Mayor's Office,2,Purchase of Services,266,Maint/support-computr Hardware/soft,23000
2015,General Operating Fund,Mayor's Office,3,Materials and Supplies,304,Books and Other Publications,3262
2015,General Operating Fund,Mayor's Office,3,Materials and Supplies,320,Office Materials and Supplies,27528
2015,General Operating Fund,Mayor's Office,3,Materials and Supplies,324,"Precision, Photographic and Artists",1000
2015,General Operating Fund,Mayor's Office,3,Materials and Supplies,325,Printing,15984
2015,General Operating Fund,Mayor's Office,4,Equipment,420,Office Equipment,2391
2015,General Operating Fund,Mayor's Office,5,"Contributions, Indemnities, Refunds, Taxes",504,Meritorious Awards,200000
2015,General Operating Fund,Office of Housing,2,Purchase of Services,250,Professional Consult/spec Services,3020000
2015,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-civilian,15058861
2015,General Operating Fund,Managing Director,1,Personal Services,121,Temporary Seasonal,571650
2015,General Operating Fund,Managing Director,1,Personal Services,161,Overtime Civilian,411892
2015,General Operating Fund,Managing Director,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",5000
2015,General Operating Fund,Managing Director,1,Personal Services,181,Shift,3500
2015,General Operating Fund,Managing Director,2,Purchase of Services,209,Telephone,2860
2015,General Operating Fund,Managing Director,2,Purchase of Services,210,Postage,9375
2015,General Operating Fund,Managing Director,2,Purchase of Services,211,Transportation,33956
2015,General Operating Fund,Managing Director,2,Purchase of Services,216,Commercial Off-shelf Comp Software,157958
2015,General Operating Fund,Managing Director,2,Purchase of Services,230,Meals-non-travel & Officl Entertain,9596
2015,General Operating Fund,Managing Director,2,Purchase of Services,240,Advertising/promotional Activities,3750
2015,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/spec Services,8345330
2015,General Operating Fund,Managing Director,2,Purchase of Services,251,Information Technology-prof Service,48900
2015,General Operating Fund,Managing Director,2,Purchase of Services,253,Legal Services,50669467
2015,General Operating Fund,Managing Director,2,Purchase of Services,255,Dues,14293
2015,General Operating Fund,Managing Director,2,Purchase of Services,256,Seminar and Training Sessions,13786
2015,General Operating Fund,Managing Director,2,Purchase of Services,260,Repair and Maintenance Charges,56553
2015,General Operating Fund,Managing Director,2,Purchase of Services,266,Maint/support-computr Hardware/soft,49957
2015,General Operating Fund,Managing Director,2,Purchase of Services,282,Rent/lease-purchase Computer Equip,10234
2015,General Operating Fund,Managing Director,2,Purchase of Services,284,Ground and Building Rental,903
2015,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,27975
2015,General Operating Fund,Managing Director,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),527582
2015,General Operating Fund,Managing Director,3,Materials and Supplies,304,Books and Other Publications,1000
2015,General Operating Fund,Managing Director,3,Materials and Supplies,305,Building and Construction,148130
2015,General Operating Fund,Managing Director,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,11148
2015,General Operating Fund,Managing Director,3,Materials and Supplies,311,General Equipment and Machinery,14907
2015,General Operating Fund,Managing Director,3,Materials and Supplies,313,Food,1334
2015,General Operating Fund,Managing Director,3,Materials and Supplies,318,"Janitorial, Laundry and Household",118175
2015,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,36294
2015,General Operating Fund,Managing Director,3,Materials and Supplies,324,"Precision, Photographic and Artists",3710
2015,General Operating Fund,Managing Director,3,Materials and Supplies,325,Printing,7052
2015,General Operating Fund,Managing Director,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,8918
2015,General Operating Fund,Managing Director,3,Materials and Supplies,399,Other Materials and Supplies (noc),39907
2015,General Operating Fund,Managing Director,4,Equipment,420,Office Equipment,28419
2015,General Operating Fund,Managing Director,4,Equipment,424,"Precision, Photographic and Artist",1725
2015,General Operating Fund,Managing Director,4,Equipment,427,Computer Equipment & Peripherals,15220
2015,General Operating Fund,Managing Director,4,Equipment,430,Furniture and Furnishings,25800
2015,General Operating Fund,Managing Director,4,Equipment,499,Other Equipment (noc),65080
2015,General Operating Fund,Police,1,Personal Services,100,Salary Control,10568875
2015,General Operating Fund,Police,1,Personal Services,101,Perm Full Time-civilian,33243226
2015,General Operating Fund,Police,1,Personal Services,105,Perm Full Time-uniform,406559855
2015,General Operating Fund,Police,1,Personal Services,110,Uniform Stress Pay,31350616
2015,General Operating Fund,Police,1,Personal Services,141,School Crossing Guards,11845232
2015,General Operating Fund,Police,1,Personal Services,152,Uniform Iod Pay (heart & Lung),17748000
2015,General Operating Fund,Police,1,Personal Services,161,Overtime Civilian,3120023
2015,General Operating Fund,Police,1,Personal Services,165,Overtime Shift Uniform,42099738
2015,General Operating Fund,Police,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",841500
2015,General Operating Fund,Police,1,Personal Services,175,Holiday Pay-annual,18504582
2015,General Operating Fund,Police,1,Personal Services,181,Shift,247703
2015,General Operating Fund,Police,2,Purchase of Services,201,Cleaning and Laundering,3085500
2015,General Operating Fund,Police,2,Purchase of Services,202,Janitorial Services,7800
2015,General Operating Fund,Police,2,Purchase of Services,205,Refuse/garbage/silt/sludge Removal,43421
2015,General Operating Fund,Police,2,Purchase of Services,209,Telephone,8970
2015,General Operating Fund,Police,2,Purchase of Services,210,Postage,77820
2015,General Operating Fund,Police,2,Purchase of Services,211,Transportation,130000
2015,General Operating Fund,Police,2,Purchase of Services,212,Return of Fugitives,61000
2015,General Operating Fund,Police,2,Purchase of Services,231,Overtime Meals,358350
2015,General Operating Fund,Police,2,Purchase of Services,240,Advertising/promotional Activities,5080
2015,General Operating Fund,Police,2,Purchase of Services,250,Professional Consult/spec Services,2133737
2015,General Operating Fund,Police,2,Purchase of Services,255,Dues,7845
2015,General Operating Fund,Police,2,Purchase of Services,256,Seminar and Training Sessions,359200
2015,General Operating Fund,Police,2,Purchase of Services,260,Repair and Maintenance Charges,809432
2015,General Operating Fund,Police,2,Purchase of Services,285,Rents,174652
2015,General Operating Fund,Police,3,Materials and Supplies,302,"Animal, Livestock and Marine Life",93641
2015,General Operating Fund,Police,3,Materials and Supplies,304,Books and Other Publications,44327
2015,General Operating Fund,Police,3,Materials and Supplies,305,Building and Construction,40190
2015,General Operating Fund,Police,3,Materials and Supplies,307,Chemicals and Gases,18757
2015,General Operating Fund,Police,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,4258776
2015,General Operating Fund,Police,3,Materials and Supplies,309,Cordage and Fibers,6544
2015,General Operating Fund,Police,3,Materials and Supplies,310,Electrical and Communication,81993
2015,General Operating Fund,Police,3,Materials and Supplies,311,General Equipment and Machinery,43808
2015,General Operating Fund,Police,3,Materials and Supplies,312,Fire Fighting and Safety,633400
2015,General Operating Fund,Police,3,Materials and Supplies,313,Food,181430
2015,General Operating Fund,Police,3,Materials and Supplies,316,General Hardware and Minor Tools,7254
2015,General Operating Fund,Police,3,Materials and Supplies,317,Hospital and Laboratory,747760
2015,General Operating Fund,Police,3,Materials and Supplies,318,"Janitorial, Laundry and Household",270997
2015,General Operating Fund,Police,3,Materials and Supplies,319,Nautical and Aeronautical,259063
2015,General Operating Fund,Police,3,Materials and Supplies,320,Office Materials and Supplies,548271
2015,General Operating Fund,Police,3,Materials and Supplies,322,Small Power Tools and Hand Tools,491
2015,General Operating Fund,Police,3,Materials and Supplies,323,Plumbing/air Conditioning/space Htg,2060
2015,General Operating Fund,Police,3,Materials and Supplies,324,"Precision, Photographic and Artists",956728
2015,General Operating Fund,Police,3,Materials and Supplies,325,Printing,189547
2015,General Operating Fund,Police,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,21256
2015,General Operating Fund,Police,3,Materials and Supplies,335,Lubricants,300
2015,General Operating Fund,Police,3,Materials and Supplies,342,Liquid Propane Gas (lpg),5000
2015,General Operating Fund,Police,3,Materials and Supplies,345,Gasoline,135015
2015,General Operating Fund,Police,4,Equipment,410,Electrical Lighting Communication,3980
2015,General Operating Fund,Police,4,Equipment,411,General Equipment and Machinery,420
2015,General Operating Fund,Police,4,Equipment,412,Fire Fighting and Emergency,380369
2015,General Operating Fund,Police,4,Equipment,417,Hospital and Laboratory,2941
2015,General Operating Fund,Police,4,Equipment,420,Office Equipment,85780
2015,General Operating Fund,Police,4,Equipment,424,"Precision, Photographic and Artist",1262
2015,General Operating Fund,Police,4,Equipment,427,Computer Equipment & Peripherals,20000
2015,General Operating Fund,Police,4,Equipment,430,Furniture and Furnishings,69512
2015,General Operating Fund,Police,4,Equipment,499,Other Equipment (noc),6630
2015,General Operating Fund,Streets,1,Personal Services,100,Salary Control,507350
2015,General Operating Fund,Streets,1,Personal Services,101,Perm Full Time-civilian,58434303
2015,General Operating Fund,Streets,1,Personal Services,121,Temporary Seasonal,288282
2015,General Operating Fund,Streets,1,Personal Services,161,Overtime Civilian,7810759
2015,General Operating Fund,Streets,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",168243
2015,General Operating Fund,Streets,1,Personal Services,181,Shift,257899
2015,General Operating Fund,Streets,2,Purchase of Services,201,Cleaning and Laundering,5360
2015,General Operating Fund,Streets,2,Purchase of Services,205,Refuse/garbage/silt/sludge Removal,36453821
2015,General Operating Fund,Streets,2,Purchase of Services,210,Postage,1000
2015,General Operating Fund,Streets,2,Purchase of Services,211,Transportation,40845
2015,General Operating Fund,Streets,2,Purchase of Services,215,Licenses Permits Inspection Charges,140
2015,General Operating Fund,Streets,2,Purchase of Services,240,Advertising/promotional Activities,477891
2015,General Operating Fund,Streets,2,Purchase of Services,250,Professional Consult/spec Services,4215612
2015,General Operating Fund,Streets,2,Purchase of Services,255,Dues,5000
2015,General Operating Fund,Streets,2,Purchase of Services,256,Seminar and Training Sessions,44335
2015,General Operating Fund,Streets,2,Purchase of Services,257,Architectural & Engineering Srvcs,20000
2015,General Operating Fund,Streets,2,Purchase of Services,260,Repair and Maintenance Charges,867478
2015,General Operating Fund,Streets,2,Purchase of Services,266,Maint/support-computr Hardware/soft,336
2015,General Operating Fund,Streets,2,Purchase of Services,285,Rents,4137911
2015,General Operating Fund,Streets,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),13726
2015,General Operating Fund,Streets,3,Materials and Supplies,304,Books and Other Publications,19109
2015,General Operating Fund,Streets,3,Materials and Supplies,305,Building and Construction,1051895
2015,General Operating Fund,Streets,3,Materials and Supplies,307,Chemicals and Gases,18334
2015,General Operating Fund,Streets,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,192666
2015,General Operating Fund,Streets,3,Materials and Supplies,309,Cordage and Fibers,728
2015,General Operating Fund,Streets,3,Materials and Supplies,310,Electrical and Communication,773316
2015,General Operating Fund,Streets,3,Materials and Supplies,311,General Equipment and Machinery,46686
2015,General Operating Fund,Streets,3,Materials and Supplies,312,Fire Fighting and Safety,27154
2015,General Operating Fund,Streets,3,Materials and Supplies,313,Food,200
2015,General Operating Fund,Streets,3,Materials and Supplies,314,Fuel -- Heating and Lighting,313625
2015,General Operating Fund,Streets,3,Materials and Supplies,316,General Hardware and Minor Tools,325448
2015,General Operating Fund,Streets,3,Materials and Supplies,317,Hospital and Laboratory,10520
2015,General Operating Fund,Streets,3,Materials and Supplies,318,"Janitorial, Laundry and Household",180682
2015,General Operating Fund,Streets,3,Materials and Supplies,320,Office Materials and Supplies,102618
2015,General Operating Fund,Streets,3,Materials and Supplies,322,Small Power Tools and Hand Tools,70426
2015,General Operating Fund,Streets,3,Materials and Supplies,323,Plumbing/air Conditioning/space Htg,59315
2015,General Operating Fund,Streets,3,Materials and Supplies,324,"Precision, Photographic and Artists",85102
2015,General Operating Fund,Streets,3,Materials and Supplies,325,Printing,55379
2015,General Operating Fund,Streets,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,16500
2015,General Operating Fund,Streets,3,Materials and Supplies,335,Lubricants,269
2015,General Operating Fund,Streets,3,Materials and Supplies,342,Liquid Propane Gas (lpg),13915
2015,General Operating Fund,Streets,3,Materials and Supplies,399,Other Materials and Supplies (noc),15852
2015,General Operating Fund,Streets,4,Equipment,405,"Construction, Dredging, Conveying",2455
2015,General Operating Fund,Streets,4,Equipment,410,Electrical Lighting Communication,23293
2015,General Operating Fund,Streets,4,Equipment,411,General Equipment and Machinery,35989
2015,General Operating Fund,Streets,4,Equipment,420,Office Equipment,27638
2015,General Operating Fund,Streets,4,Equipment,423,Plumbing/air Conditioning/space Htg,22294
2015,General Operating Fund,Streets,4,Equipment,424,"Precision, Photographic and Artist",68956
2015,General Operating Fund,Streets,4,Equipment,427,Computer Equipment & Peripherals,372
2015,General Operating Fund,Streets,4,Equipment,428,Vehicles -- Motor and Motorless,200000
2015,General Operating Fund,Streets,4,Equipment,430,Furniture and Furnishings,47021
2015,General Operating Fund,Streets,4,Equipment,499,Other Equipment (noc),2205
2015,General Operating Fund,Streets,5,"Contributions, Indemnities, Refunds, Taxes",504,Meritorious Awards,5000
2015,General Operating Fund,Streets,5,"Contributions, Indemnities, Refunds, Taxes",505,Contributions-ed & Non-prof Rec Org,48171
2015,General Operating Fund,Fire,1,Personal Services,100,Salary Control,1098000
2015,General Operating Fund,Fire,1,Personal Services,101,Perm Full Time-civilian,5299718
2015,General Operating Fund,Fire,1,Personal Services,105,Perm Full Time-uniform,132914098
2015,General Operating Fund,Fire,1,Personal Services,107,Fire out of Class Prem(2hr Dif),8845500
2015,General Operating Fund,Fire,1,Personal Services,131,Board,1000
2015,General Operating Fund,Fire,1,Personal Services,161,Overtime Civilian,727782
2015,General Operating Fund,Fire,1,Personal Services,165,Overtime Shift Uniform,25128563
2015,General Operating Fund,Fire,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",64000
2015,General Operating Fund,Fire,1,Personal Services,175,Holiday Pay-annual,8780000
2015,General Operating Fund,Fire,1,Personal Services,181,Shift,25000
2015,General Operating Fund,Fire,2,Purchase of Services,202,Janitorial Services,2400
2015,General Operating Fund,Fire,2,Purchase of Services,210,Postage,400
2015,General Operating Fund,Fire,2,Purchase of Services,211,Transportation,27500
2015,General Operating Fund,Fire,2,Purchase of Services,250,Professional Consult/spec Services,4096493
2015,General Operating Fund,Fire,2,Purchase of Services,255,Dues,11245
2015,General Operating Fund,Fire,2,Purchase of Services,256,Seminar and Training Sessions,171000
2015,General Operating Fund,Fire,2,Purchase of Services,259,Arbitration Fees,18000
2015,General Operating Fund,Fire,2,Purchase of Services,260,Repair and Maintenance Charges,759355
2015,General Operating Fund,Fire,2,Purchase of Services,285,Rents,14200
2015,General Operating Fund,Fire,3,Materials and Supplies,301,Agricultural and Botanical,9000
2015,General Operating Fund,Fire,3,Materials and Supplies,304,Books and Other Publications,42500
2015,General Operating Fund,Fire,3,Materials and Supplies,305,Building and Construction,14500
